[Header]
Data File Name	C:\GCMSsolution\Data\KOM\Huile essentielle\Essential oill.qgm1.QGD
Output Date	01/07/2008
Output Time	03:14:09

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	300
# of Points	9167
Start Time(min)	3.000
End Time(min)	48.830
Ret.Time	Absolute Intensity	Relative Intensity
8.575	72197	2.27
8.580	69732	2.19
8.585	71176	2.24
8.590	73179	2.30
8.595	67998	2.14
8.600	70065	2.20
8.605	70779	2.22
8.610	72484	2.28
8.615	70704	2.22
8.620	69571	2.19
8.625	73344	2.30
8.630	70030	2.20
8.635	67703	2.13
8.640	68408	2.15
8.645	70228	2.21
8.650	69314	2.18
8.655	72894	2.29
8.660	64720	2.03
8.665	68324	2.15
8.670	68454	2.15
8.675	72658	2.28
8.680	68422	2.15
8.685	68235	2.14
8.690	69686	2.19
8.695	70408	2.21
8.700	67128	2.11
8.705	69174	2.17
8.710	68555	2.15
8.715	69447	2.18
8.720	70394	2.21
8.725	69090	2.17
8.730	71592	2.25
8.735	71183	2.24
8.740	71423	2.24
8.745	72270	2.27
8.750	68890	2.16
8.755	70936	2.23
8.760	71401	2.24
8.765	69633	2.19
8.770	70414	2.21
8.775	69096	2.17
8.780	64120	2.02
8.785	70470	2.21
8.790	67669	2.13
8.795	71878	2.26
8.800	70080	2.20
8.805	70178	2.21
8.810	72217	2.27
8.815	69912	2.20
8.820	72034	2.26
8.825	67667	2.13
8.830	70141	2.20
8.835	71490	2.25
8.840	65467	2.06
8.845	68264	2.15
8.850	68365	2.15
8.855	67351	2.12
8.860	66757	2.10
8.865	66462	2.09
8.870	69264	2.18
8.875	69707	2.19
8.880	65614	2.06
8.885	69721	2.19
8.890	67083	2.11
8.895	68909	2.17
8.900	69592	2.19
8.905	67644	2.13
8.910	72398	2.28
8.915	67226	2.11
8.920	70514	2.22
8.925	72074	2.27
8.930	68694	2.16
8.935	71913	2.26
8.940	70875	2.23
8.945	70045	2.20
8.950	71855	2.26
8.955	67552	2.12
8.960	68017	2.14
8.965	68196	2.14
8.970	68742	2.16
8.975	72350	2.27
8.980	66812	2.10
8.985	68501	2.15
8.990	71902	2.26
8.995	67042	2.11
9.000	70413	2.21
9.005	67897	2.13
9.010	68828	2.16
9.015	68032	2.14
9.020	64654	2.03
9.025	70975	2.23
9.030	64495	2.03
9.035	67679	2.13
9.040	67995	2.14
9.045	66014	2.07
9.050	68620	2.16
9.055	67905	2.13
9.060	67861	2.13
